custom_operator,execution_operator,kernel_name,variant_index,mapping_status,input_shapes,input_dtypes,candidate_operators,kernel_event_count,kernel_time_us
null,aten::_index_put_impl_,"void (anonymous namespace)::indexing_backward_kernel<c10::BFloat16, 4>(long const*, long const*, c10::BFloat16 const*, c10::BFloat16*, long, long, long, long, bool)",3,operator_shape_matched,"[[98970,4096],[],[96000,4096],[],[]]","[""c10::BFloat16"","""",""c10::BFloat16"",""Scalar"",""Scalar""]",null,1,1370.119
null,aten::_index_put_impl_,"void (anonymous namespace)::indexing_backward_kernel<c10::BFloat16, 4>(long const*, long const*, c10::BFloat16 const*, c10::BFloat16*, long, long, long, long, bool)",4,operator_shape_matched,"[[97971,4096],[],[94622,4096],[],[]]","[""c10::BFloat16"","""",""c10::BFloat16"",""Scalar"",""Scalar""]",null,1,1342.887
null,aten::_index_put_impl_,"void (anonymous namespace)::indexing_backward_kernel<c10::BFloat16, 4>(long const*, long const*, c10::BFloat16 const*, c10::BFloat16*, long, long, long, long, bool)",5,operator_shape_matched,"[[96992,4096],[],[94380,4096],[],[]]","[""c10::BFloat16"","""",""c10::BFloat16"",""Scalar"",""Scalar""]",null,1,1303.591
null,aten::_index_put_impl_,"void (anonymous namespace)::indexing_backward_kernel<c10::BFloat16, 4>(long const*, long const*, c10::BFloat16 const*, c10::BFloat16*, long, long, long, long, bool)",6,operator_shape_matched,"[[97971,4096],[],[96577,4096],[],[]]","[""c10::BFloat16"","""",""c10::BFloat16"",""Scalar"",""Scalar""]",null,1,1299.879
null,aten::_index_put_impl_,"void (anonymous namespace)::indexing_backward_kernel<c10::BFloat16, 4>(long const*, long const*, c10::BFloat16 const*, c10::BFloat16*, long, long, long, long, bool)",7,operator_shape_matched,"[[91618,4096],[],[90712,4096],[],[]]","[""c10::BFloat16"","""",""c10::BFloat16"",""Scalar"",""Scalar""]",null,1,1201.351
null,aten::_index_put_impl_,"void (anonymous namespace)::indexing_backward_kernel<c10::BFloat16, 4>(long const*, long const*, c10::BFloat16 const*, c10::BFloat16*, long, long, long, long, bool)",8,operator_shape_matched,"[[91618,4096],[],[90321,4096],[],[]]","[""c10::BFloat16"","""",""c10::BFloat16"",""Scalar"",""Scalar""]",null,1,1189.287
null,aten::_index_put_impl_,"void (anonymous namespace)::indexing_backward_kernel<c10::BFloat16, 4>(long const*, long const*, c10::BFloat16 const*, c10::BFloat16*, long, long, long, long, bool)",9,operator_shape_matched,"[[58939,4096],[],[58259,4096],[],[]]","[""c10::BFloat16"","""",""c10::BFloat16"",""Scalar"",""Scalar""]",null,1,747.012
null,aten::_index_put_impl_,"void (anonymous namespace)::indexing_backward_kernel<c10::BFloat16, 4>(long const*, long const*, c10::BFloat16 const*, c10::BFloat16*, long, long, long, long, bool)",10,operator_shape_matched,"[[58939,4096],[],[58650,4096],[],[]]","[""c10::BFloat16"","""",""c10::BFloat16"",""Scalar"",""Scalar""]",null,1,720.932
null,aten::_index_put_impl_,"void (anonymous namespace)::indexing_backward_kernel<c10::BFloat16, 4>(long const*, long const*, c10::BFloat16 const*, c10::BFloat16*, long, long, long, long, bool)",11,operator_shape_matched,"[[56605,4096],[],[55913,4096],[],[]]","[""c10::BFloat16"","""",""c10::BFloat16"",""Scalar"",""Scalar""]",null,1,717.892
null,aten::_index_put_impl_,"void (anonymous namespace)::indexing_backward_kernel<c10::BFloat16, 4>(long const*, long const*, c10::BFloat16 const*, c10::BFloat16*, long, long, long, long, bool)",12,operator_shape_matched,"[[56605,4096],[],[56304,4096],[],[]]","[""c10::BFloat16"","""",""c10::BFloat16"",""Scalar"",""Scalar""]",null,1,695.044
null,aten::_index_put_impl_,"void (anonymous namespace)::indexing_backward_kernel<c10::BFloat16, 4>(long const*, long const*, c10::BFloat16 const*, c10::BFloat16*, long, long, long, long, bool)",13,operator_shape_matched,"[[96992,4096],[],[2612,4096],[],[]]","[""c10::BFloat16"","""",""c10::BFloat16"",""Scalar"",""Scalar""]",null,1,35.36
null,aten::_index_put_impl_,"void (anonymous namespace)::indexing_backward_kernel<c10::BFloat16, 4>(long const*, long const*, c10::BFloat16 const*, c10::BFloat16*, long, long, long, long, bool)",14,operator_shape_matched,"[[97971,4096],[],[1394,4096],[],[]]","[""c10::BFloat16"","""",""c10::BFloat16"",""Scalar"",""Scalar""]",null,1,19.168
null,aten::_index_put_impl_,"void (anonymous namespace)::indexing_backward_kernel<c10::BFloat16, 4>(long const*, long const*, c10::BFloat16 const*, c10::BFloat16*, long, long, long, long, bool)",15,operator_shape_matched,"[[98970,4096],[],[1170,4096],[],[]]","[""c10::BFloat16"","""",""c10::BFloat16"",""Scalar"",""Scalar""]",null,1,18.977
null,aten::_index_put_impl_,"void (anonymous namespace)::indexing_backward_kernel<c10::BFloat16, 4>(long const*, long const*, c10::BFloat16 const*, c10::BFloat16*, long, long, long, long, bool)",16,operator_shape_matched,"[[91618,4096],[],[906,4096],[],[]]","[""c10::BFloat16"","""",""c10::BFloat16"",""Scalar"",""Scalar""]",null,1,13.505
null,aten::_index_put_impl_,"void (anonymous namespace)::indexing_backward_kernel<c10::BFloat16, 4>(long const*, long const*, c10::BFloat16 const*, c10::BFloat16*, long, long, long, long, bool)",17,operator_shape_matched,"[[56605,4096],[],[301,4096],[],[]]","[""c10::BFloat16"","""",""c10::BFloat16"",""Scalar"",""Scalar""]",null,1,6.624
null,aten::_index_put_impl_,"void (anonymous namespace)::indexing_backward_kernel<c10::BFloat16, 4>(long const*, long const*, c10::BFloat16 const*, c10::BFloat16*, long, long, long, long, bool)",18,operator_shape_matched,"[[58939,4096],[],[289,4096],[],[]]","[""c10::BFloat16"","""",""c10::BFloat16"",""Scalar"",""Scalar""]",null,1,6.433
